Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,Subsystem
R169,0402,Passives,Resistors,Thick Film,GENERIC,R0402_33K_1%_0.0625W_100PPM,33kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"RN1_ADC_1, RN1_ADC_2, RN1_ADC_3, RN1_ADC_4, RN1_ADC_5, RN1_ADC_6, RN2_ADC_1, RN2_ADC_2, RN2_ADC_3, RN2_ADC_4, RN2_ADC_5, RN2_ADC_6",,Passives,Resistors,Resistor Network,YAGEO,YC248-JR-0733RL,"8 Isolated Resistors, 33Ω, 5%, 10×4×2mm",12,kg,0.00011,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,passsive because is a group of resistors so it is accurate to just use a generic. mass: https://www.mouser.ch/ProductDetail/YAGEO/YC248-JR-0733RL?qs=nLJruSqDb979t1oygygK%252Bw%3D%3D,analog_control
"RN3_ANA_CAL_0, RN3_ANA_CAL_1",,Passives,Resistors,Resistor Network,VISHAY,Y1365V0548BA0,"4 Resistors 10k-3k5-3k5-10k, 0.05%",2,kg,0.00008,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://uk.farnell.com/vishay-foil-resistors/y1365v0008qt9r/res-n-w-precision-4-res-10k-10k/dp/2820565RL,analog_control
"RN4, RN6",SOT23-3,Passives,Resistors,Resistor Divider,VISHAY,MPMT10015001AT1,"1k/5k Resistor Divider, 0.1%",2,kg,0.000008,YES,,,,,,,,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Vishay-Thin-Film/MPMT10015001AT1?qs=nuXzIS8loXFNGU%2Fu8RPhCw%3D%3D,analog_control
"RN5, RN8_ANA_CAL_0, RN8_ANA_CAL_1, RN9, RN10, RN11, RN12, RN13, RN14, RN15, RN16",0804,Passives,Resistors,Resistor Network,YAGEO,YC124-JR-0710RL,"4 Isolated Resistors, 10Ω, 5%, 5×4×2mm",11,kg,0.000129,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,mass: https://www.mouser.ch/ProductDetail/YAGEO/YC124-JR-0710RL?qs=8cPjvKtxWv5nBVVOMnQKvw%3D%3D,analog_control
RN7,SOIC16,Passives,Resistors,Resistor Network,VISHAY,NOMCA16031002A,"8 Isolated Resistors, 10kΩ, 0.1%",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Vishay-Thin-Film/NOMCA16031002ATS?qs=PA%252BPfIdQ8xn4mv4Zs3psSQ%3D%3D,analog_control
T1,SOT223,Discrete Semiconductors,Small signal,Bipolar semiconductors,ONSEMI,PZT2907A,"PNP Transistor, 60V, 600mA, SOT223",1,kg,0.000188,YES,,,,,,,,,EcoInvent,"transistor production, surface-mounted",kg,Input,https://www.mouser.es/ProductDetail/onsemi/PZT2907A?qs=UMEuL5FsraBXxz0nJet9Bg%3D%3D&srsltid=AfmBOopeoHCKH87-Ml34XF83hB62K3xHh1JxjGd1zT-2WUcnM2BNkdqF,analog_control
"T2, T3",SOT23-3,Discrete Semiconductors,Small signal,Bipolar Transistor,ONSEMI,MMBT2222A,"NPN Transistor, 40V, 600mA, SOT23",2,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,https://eu.mouser.com/ProductDetail/onsemi/MMBT2222ALT1G?qs=HVbQlW5zcXWwnD7Jokybqg%3D%3D&utm_id=22436684119&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22426730046&gbraid=0AAAAADn_wf3MMOq51xvQ_ZjdhmwfA-CwU&gclid=Cj0KCQjw1ZjOBhCmARIsADDuFTCQZHjv8zG1rLRjQKEE_tDBw2mmxUCuU4iRJzWEMaGFz2a0RVadYQsaAvYAEALw_wcB,analog_control
"TP43, TP44_ANA_CAL_0, TP44_ANA_CAL_1, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP53",,Passives,Test PIN,,HARWIN,S2761-46R,"Through-Hole Test Point, PC Test Pin",11,kg,0.000006,YES,,,,,,0,0,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Harwin/S2761-46R?qs=DaxoyN%2FvrebHvZaagZ7Fog%3D%3D,analog_control
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,195,100,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,analog_control
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,195,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,analog_control
PCB,,PCB,,,Panel of 2,EDA-04976-V1,,1,m2,,YES,170,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",contactor_card
PCB Terminal Test Pins,,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),7,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Chossen passive generic because it includes thins kind of components and there is not another alternative.,contactor_card
"C1, C3",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100PF_50V_5%_NP0,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",contactor_card
"C2, C6, C7",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,,3,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",contactor_card
"C4, C5",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",contactor_card
"C8, C9",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_10NF_50V_10%_X7R,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",contactor_card
"D1, D3, D12",SOT23-3,Discrete Semiconductors,Small signal,Dual,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,3,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,contactor_card
"D2, D4-D6, D9, D10, D13, D14",SOD-80C,Discrete Semiconductors,Small signal,Zener,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,8,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,contactor_card
D7,DO-214AA,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"""it is SMD"",",contactor_card
"D8, D11",DO-214AA,Discrete Semiconductors,Small signal,TVS,LITTELFUSE,SMBJ48CA,48V 600W Bi-Directional Transient Voltage Suppressor Diode,2,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,contactor_card
D15-D20,TO-247-2,Discrete Semiconductors,Power,Rectifier diode,VISHAY,VS-45EPS16L-M3,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",6,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input,Selected a transistor because the characteristics (materials and size) are more similar,contactor_card
F1,,Passives,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,contactor_card
IC1,DIP6 SMD,Modules,Hybrid Relays,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component",contactor_card
J1,,Electromechanical,Connectors,,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,contactor_card
"J2,J4",,Electromechanical,Connectors,,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,2,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/,contactor_card
J3,,Electromechanical,Connectors,,OSRAM,N2514-6003RB,14 Contacts Straight .100'' x .100'' Low Profile Four-Wall Header (Solder Tail 3.94mm) 2500 Series,1,kg,0.00331,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,mass data: https://www.tme.com/ux/en-us/details/n2514-6003-rb/idc-connectors/3m/7100243253/,contactor_card
LD1,,Discrete Semiconductors,Optoelectronics,LED,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,kg,0.00035,YES,,,,,,,,,EcoInvent,light emitting diode production,kg,Input,Represents a 5mm through‑hole LED (your LD1 is SMD). Default weight assumption: 0.35 g per LED,contactor_card
"R1-R6,R15-R19,R36-R46",1206,Passives,Resistors,,GENERIC,R1206_270K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resistor,22,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
"R7-R14, R20-R35,R47 > R62, R65 > R72,R76 > R83, R87 > R102, R106 > R121, R123 > R130, R135 > R142, R159 > R166, R179 > R186, R199 > R206, R223 > R230, R245 > R252",1206,Passives,Resistors,,GENERIC,R1206_4K3_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,144,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
"R63,R75",1206,Passives,Resistors,,GENERIC,R1206_30K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resisto,2,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
"R64, R74, R85, R86, R103,R221, R222",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",7,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
"R73, R213, R214,R237, R238",1206,Passives,Resistors,,GENERIC,R1206_100K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,5,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
"R84, R122, R131 > R134, R149, R150, R157, R158",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
R104,1206,Passives,Resistors,,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
R105,1206,Passives,Resistors,,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
"R143 > R148, R151 > R156,R167 > R178, R187 > R198,R207 > R212, R215 > R220, R231 > R236, R239 > R244, R253 > R258",1206,Passives,Resistors,,GENERIC,R1206_33K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,66,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,contactor_card
RV1,,Passives,Resistors,,EPCOS / TDK,B72220S0511K101 or S20K510,±10% 510VAC 1W SIOV Metal Oxide Varistor,1,kg,0.005948,YES,,,,,,,,,EcoInvent,"resistor production, wirewound, through-hole mounting",kg,Input,Mass data: https://www.tme.eu/en/details/b72220s0511k101/varistors-epcos-tdk/,contactor_card
T1,SOT23-3,Discrete Semiconductors,Small signal,Bipolar Transistor,onsemi,MMBT3906L,40V 200mA PNP General Purpose Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,Specific for surface‑mounted transistors; matches SOT‑23 package.,contactor_card
"T2,T5",DPAK,Discrete Semiconductors,Power,MOSFET,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,2,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input,Specific for surface‑mounted transistors.,contactor_card
"RL4, RL5",,Electromechanical,Relays,,OMRON ELECTRONIC,G2RL-24-DC24,"8A@250VAC, DPDT Power Relay, G2RL Series",2,kg,0.01699,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input,Relay trated as a magnet becaus eof material similarity. Mass info: https://www.lovechip.com/product/g2rl-24-dc24,contactor_card
HS1-HS6,,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FK 245 MI 247 O,"TO-247 Heat Sink Rth: 20.2°C/W, Vertical Mount",6,kg,0.005,YES,,,,,,,,,EcoInvent,"market for copper, cathode + metal working, average for copper product manufacturing",kg,Input,"MASS FROM DATABASE, Aproximated as hardware",contactor_card
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,170,100,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,contactor_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,170,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,contactor_card
J7A,,Electromechanical,Connectors,,TYCO ELECTRONICS,1-770178-0,Connector 6 Male MATE-N-LOK,1,kg,0.00738,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,mass info: https://www.tme.eu/se/details/amp-1-770178-0/signalkontaktdon-avstand-4-14mm/te-connectivity/1-770178-0/,control_backplane_card
J7B,,Electromechanical,Connectors,,TYCO ELECTRONICS,350711-1,Connector 6 Male MATE-N-LOK,1,kg,0.003465,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,mass info: https://www.tme.eu/se/details/350711-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,control_backplane_card
J6,,Electromechanical,Connectors,,3M,N3793-6302RB,"10 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,MASS INFO: https://www.tme.eu/ps/en/details/n3793-6302rb/idc-connectors/3m/,control_backplane_card
"J1,J8",,Electromechanical,Connectors,,3M,N3314-6302RB,Connector 14,1,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,MASS INFO: https://www.tme.eu/ps/en/details/n3793-6302rb/idc-connectors/3m/,control_backplane_card
"J1,J8",,Electromechanical,Connectors,,3M,N3314-6302RB,Connector 14 Male+2MTG,2,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,MASS INFO: https://www.tme.eu/se/details/n3314-6302rb/idc-kontaktdon/3m/7100251529/,control_backplane_card
"J2,J5",,Electromechanical,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",2,kg,,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website,control_backplane_card
"J3,J4",,Electromechanical,Connectors,,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",2,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website,control_backplane_card
screws,,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",14,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws.",control_backplane_card
PCB,,PCB,,,,,,1,m2,,YES,195,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,The only model of bare PCB,digital_control
"C1, C2, C5, C7, C9, C11, C14, C15, C16, C17, C18, C20, C21, C23, C24, C26, C27, C29, C30, C32, C33, C35, C36, C38, C39, C41, C44, C47, C48, C49, C50, C54, C55, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C78, C79, C80, C81, C86, C87, C88, C89, C94, C96, C99, C106, C108, C110, C111, C112, C113, C116, C117, C118, C119, C120, C122, C123, C124, C125, C126, C128, C129, C130, C131, C132, C133, C134, C135, C138, C139, C140, C141, C142, C143, C167_DIG_IND_IN_1, C167_DIG_IND_IN_2, C167_DIG_IND_IN_3, C167_DIG_IND_IN_4, C167_DIG_IND_IN_5, C167_DIG_IND_IN_6, C167_DIG_IND_IN_7, C167_DIG_IND_IN_8, C167_DIG_IND_IN_9, C167_DIG_IND_IN_10, C167_DIG_IND_IN_11, C167_DIG_IND_IN_12, C167_DIG_IND_IN_13, C167_DIG_IND_IN_14, C171, C173, C175, C187, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C257, C258, C261, C262, C270, C271, C272, C274, C275, C276, C277, C278, C279, C280, C288",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0402",168,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C3, C4",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_22PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 22pF, 50V, C0G, 0402",2,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C6, C13, C22, C25, C28, C31, C34, C37, C40, C109, C115, C121, C127",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_22UF_10V_20%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 22µF, 10V, X5R, 0603",13,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C8, C10, C19",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_4.7UF_6.3V_20%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 4.7µF, 6.3V, X5R, 0402",3,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C12, C46, C51, C52, C53, C170, C172, C174, C273",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_10UF_6.3V_20%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 6.3V, X5R, 0402",9,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C42, C160, C165, C166, C177, C178, C179, C184, C185, C186, C264",1210,Passives,Capacitors,MLCC,GENERIC,CC1210_10UF_75V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 75V, X7R, 1210",11,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
C43,1210,Passives,Capacitors,MLCC,GENERIC,CC1210_47UF_16V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 47µF, 16V, X5R, 1210",1,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C45, C182, C183",C,Passives,Capacitors,Tantalum,GENERIC,CTE6032-28_22UF_25V_10%_LESR0250,"Low ESR 0R25 Solid Tantalum Chip Capacitor, 22µF, 25V, 6032",3,kg,0.0003,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,mASS INFO: https://www.mouser.ch/ProductDetail/KEMET/T491C226M025AT2478?qs=xy9o06WtvdCrW9e4Ll4TFg%3D%3D,digital_control
"C56, C57, C72, C73, C74, C75, C76, C77, C82, C83, C84, C85, C90, C91, C93, C95, C97, C98, C100, C101, C136, C137, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C211, C212, C247, C248, C249, C250, C254, C255, C256, C259, C260, C281, C282, C283, C284, C285, C286, C287, C289, C290, C291",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0805",57,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C92_CONTACT_OUT_0, C92_CONTACT_OUT_1, C92_CONTACT_OUT_2, C92_CONTACT_OUT_3, C92_CONTACT_OUT_4, C92_CONTACT_OUT_5",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_1UF_100V_10%_X7S,"SMD Multilayer Chip Ceramic Capacitor, 1µF, 100V, X7S, 0805",6,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C105, C107, C163, C164, C225_P24V_FUSE1, C225_P24V_FUSE2, C225_P24V_FUSE3, C225_P24V_FUSE4, C225_P24V_FUSE5, C225_P24V_FUSE6, C225_P24V_FUSE7, C225_P24V_FUSE8, C226_P24V_FUSE1, C226_P24V_FUSE2, C226_P24V_FUSE3, C226_P24V_FUSE4, C226_P24V_FUSE5, C226_P24V_FUSE6, C226_P24V_FUSE7, C226_P24V_FUSE8",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",20,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
C114,1808,Passives,Capacitors,MLCC,GENERIC,CC1808_1NF_3000V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 1nF, 3000V, X7R, 1808",1,kg,,NO,4.5,2.0,1.6,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensions info: https://www.fhcomp.com/en/product_page/?code=010103&page=57,digital_control
C158,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_NO-VALUE,Reserved Footprint For 0402(1005) Chip Ceramic Capacitor,1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
C159,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_NO-VALUE,Reserved Footprint For 0402(1005) Chip Ceramic Capacitor,1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
C161,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_15NF_50V_5%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 15nF, 50V, X7R, 0402",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
C162,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 47pF, 50V, C0G, 0402",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
